date,store_number,store_name,city,county,sales
2022-01-23,3944,Sam's Club 4973 / Dubuque,Dubuque,DUBUQUE,29371.2
2022-01-30,3944,Sam's Club 4973 / Dubuque,Dubuque,DUBUQUE,10565.64
2022-02-06,3944,Sam's Club 4973 / Dubuque,Dubuque,DUBUQUE,16019.4
2022-01-09,2524,Hy-Vee Food Store / Dubuque,Dubuque,DUBUQUE,21272.93
2022-01-16,2524,Hy-Vee Food Store / Dubuque,Dubuque,DUBUQUE,32781.95
2022-01-23,2524,Hy-Vee Food Store / Dubuque,Dubuque,DUBUQUE,40796.39
2022-01-30,2524,Hy-Vee Food Store / Dubuque,Dubuque,DUBUQUE,31355.85
2022-02-06,2524,Hy-Vee Food Store / Dubuque,Dubuque,DUBUQUE,45730.31
2022-01-09,3390,Okoboji Avenue Liquor,Milford,DICKINSON,19044.42
2022-01-16,3390,Okoboji Avenue Liquor,Milford,DICKINSON,19965.85
2022-01-23,3390,Okoboji Avenue Liquor,Milford,DICKINSON,38096.54
2022-01-30,3390,Okoboji Avenue Liquor,Milford,DICKINSON,61989.58
2022-02-06,3390,Okoboji Avenue Liquor,Milford,DICKINSON,33325.09
2022-01-09,5257,MAD Ave Quik Shop,Ottumwa,WAPELLO,14694.48
2022-01-16,5257,MAD Ave Quik Shop,Ottumwa,WAPELLO,19013.65
2022-01-23,5257,MAD Ave Quik Shop,Ottumwa,WAPELLO,15412.94
2022-01-30,5257,MAD Ave Quik Shop,Ottumwa,WAPELLO,12489.01
2022-02-06,5257,MAD Ave Quik Shop,Ottumwa,WAPELLO,14403.73
2022-01-09,2543,Hy-Vee Food Store #1 / Ottumwa,Ottumwa,Wapello,21616.88
2022-01-16,2543,Hy-Vee Food Store #1 / Ottumwa,Ottumwa,Wapello,13030.84
2022-01-23,2543,Hy-Vee Food Store #1 / Ottumwa,Ottumwa,Wapello,13281.92
2022-01-30,2543,Hy-Vee Food Store #1 / Ottumwa,Ottumwa,Wapello,15716.46
2022-02-06,2543,Hy-Vee Food Store #1 / Ottumwa,Ottumwa,Wapello,12505.25
2022-01-09,2565,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,14822.32
2022-01-16,2565,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,19415.38
2022-01-23,2565,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,15265.44
2022-01-30,2565,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,14523.81
2022-02-06,2565,Hy-Vee Food Store #1636 / Spencer,Spencer,CLAY,26913.56
2022-01-09,2651,Hy-Vee / Waverly,Waverly,BREMER,17892.58
2022-01-16,2651,Hy-Vee / Waverly,Waverly,BREMER,22109.58
2022-01-23,2651,Hy-Vee / Waverly,Waverly,BREMER,23009.38
2022-01-30,2651,Hy-Vee / Waverly,Waverly,BREMER,10635.9
